,entity,label,count
628,"('Water', 'UU')",PER,1
629,"('Suurbritannia',)",LOC,4
630,"('Itaalia',)",LOC,14
631,"('Briti',)",LOC,9
632,"('Sarah', 'Squire')",PER,1
633,"('Ameerika', 'Ühendriikide', 'Suursaatkonna')",ORG,1
634,"('Dolores', 'Brown')",PER,1
635,"('Suprema', 'Securities')",PER,1
636,"('Rõuge', 'Piimaühistu')",ORG,2
637,"('Maaleht',)",ORG,3
638,"('Jaak', 'Pächteri')",PER,1
639,"('Pächter',)",PER,2
640,"('Rõuge', 'Piimaühistule')",ORG,1
641,"('Võru-',)",LOC,1
642,"('Põlvamaa',)",LOC,1
643,"('Rõuge', 'PÜ')",ORG,2
644,"('Kiiu',)",LOC,1
645,"('Tanel', 'Steinberg')",PER,1
646,"('USA-st',)",LOC,2
647,"('Kanadast',)",LOC,3
648,"('Ene', 'Maadvere')",PER,1
649,"('Ameerika', 'Ühendriikidest')",LOC,1
650,"('Uus-Meremaalt',)",LOC,1
651,"('Pro', 'Kapitali')",ORG,2
652,"('Tallinnas', 'Ilmarise')",ORG,1
